"A1011 Gr. 45","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","60","45","20.0","20.0","20.0","20","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A1011 Gr. 50","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","65","50","21.7","21.7","21.7","21.7","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"Plates, Bars, Shapes, and Sheets","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
". . .                                   A285","","A","K01700",". . .",". . .","1","(57)(59)","B","45","24","15.0","14.7","14.2","13.7","13.0","12.3","11.9","11.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A","A285"
". . .                                   A285","","B","K02200",". . .",". . .","1","(57)(59)","B","50","27","16.7","16.5","15.9","15.4","14.7","13.8","13.3","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","B","A285"
". . .                                   A516","","55","K01800",". . .",". . .","1","(""0"")","C","55","30","18.3","18.3","17.7","17.1","16.3","15.3","14.8","14.3","13.0","10.8","8.7",". . .",". . .",". . .",". . .",". . .","55","A516"
". . .                                   A285","","C","K02801",". . .",". . .","1","(57)(59)","A","55","30","18.3","18.3","17.7","17.1","16.3","15.3","14.8","14.3","13.0","10.8","8.7","5.9","4.0","2.5","1.6","1.0","C","A285"
". . .                                   A516","","60","K02100",". . .",". . .","1","(""0"")","C","60","32","20.0","19.5","18.9","18.2","17.4","16.4","15.8","15.3","13.9","11.4","8.7",". . .",". . .",". . .",". . .",". . .","60","A516"
". . .                                   A515","","60","K02401",". . .",". . .","1","(""0"")","B","60","32","20.0","19.5","18.9","18.2","17.4","16.4","15.8","15.3","13.9","11.4","8.7","5.9","4.0","2.5",". . .",". . .","60","A515"
". . .                                   A696","","B","K03200",". . .",". . .","1","(""0"")","A","60","35","20.0","20.0","20.0","19.9","19.0","17.9","17.3","15.6",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","B","A696"
". . .                                   A516","","65","K02403",". . .",". . .","1","(""0"")","B","65","35","21.7","21.4","20.6","19.9","19.0","17.9","17.3","16.7","13.9","11.4","9.0",". . .",". . .",". . .",". . .",". . .","65","A516"
". . .                                   A515","","65","K02800",". . .",". . .","1","(""0"")","A","65","35","21.7","21.4","20.6","19.9","19.0","17.9","17.3","16.7","13.9","11.4","9.0","6.3","4.0","2.5",". . .",". . .","65","A515"
". . .                                   A516","","70","K02700",". . .",". . .","1","(""0"")","B","70","38","23.3","23.2","22.4","21.6","20.6","19.4","18.8","18.1","14.8","12.0","9.3",". . .",". . .",". . .",". . .",". . .","70","A516"
". . .                                   A515","","70","K03101",". . .",". . .","1","(""0"")","A","70","38","23.3","23.2","22.4","21.6","20.6","19.4","18.8","18.1","14.8","12.0","9.3","6.7","4.0","2.5",". . .",". . .","70","A515"
". . .                                   A696","","C","K03200",". . .",". . .","1","(""0"")","A","70","40","23.3","23.3","23.3","22.8","21.7","20.5","19.7","18.3",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","C","A696"
". . .                                   A537","",". . .","K12437","1","21⁄2 thk.","1",". . .","D","70","50","23.3","23.3","22.8","22.7","22.7","22.4","21.9","18.3",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","Cl. 1","A537"
". . .                                   A299","","A","K02803",". . .","1 thk.","1","(""0"")","A","75","40","25.0","24.4","23.6","22.8","21.7","20.4","19.8","19.1","15.7","12.6","9.3","6.7","4.0","2.5","1.6","1.0","A","A299"
". . .                                   A299","","A","K02803",". . .","1 thk.","1","(""0"")","A","75","42","25.0","25.0","24.8","23.9","22.8","21.5","20.8","19.6","15.7","12.6","9.3","6.7","4.0","2.5","1.6","1.0","A","A299"
